timestamp,motorSPD,motorTEMP,packCCL,packCURR,packTEMP,packVOLT
2024-10-26T15:00:07Z,3994,7375,7644,8425,9076,4410
2024-10-26T15:03:34Z,9514,1113,7408,4807,4555,1139
2024-10-26T15:05:21Z,3615,1252,9039,1849,1854,8704
2024-10-26T15:07:15Z,3306,6934,1816,7826,4886,3280
2024-10-26T15:07:23Z,4154,9683,3651,6136,7266,841
2024-10-26T15:13:00Z,5649,6746,5967,5063,4162,8168
2024-10-26T15:18:24Z,2811,275,6325,8374,2496,2311
2024-10-26T15:22:43Z,3954,6408,2867,5850,8079,9115
2024-10-26T15:22:53Z,3681,890,3806,3695,5840,2582
2024-10-26T15:24:20Z,2972,2753,509,3069,5575,20
2024-10-26T15:26:18Z,8512,9085,6744,990,3872,4287
2024-10-26T15:26:52Z,8649,9300,9681,4215,7284,7786
2024-10-26T15:27:57Z,4146,3865,7850,9659,9184,4023
2024-10-26T15:28:43Z,3460,3160,9104,3202,1737,2100
2024-10-26T15:29:48Z,5185,6274,1073,3033,6192,616
2024-10-26T15:29:57Z,1687,3431,1394,3315,2971,9072
2024-10-26T15:31:57Z,8397,5536,2177,2917,1727,2231
2024-10-26T15:34:42Z,5473,4903,3054,2073,8229,5464
2024-10-26T15:38:40Z,9281,6100,1425,1661,9544,5178
2024-10-26T15:39:48Z,8113,3445,3135,6642,3892,2559
2024-10-26T15:42:52Z,9194,8100,4324,3632,6584,42
2024-10-26T15:43:15Z,8764,3139,3990,9835,8527,7734
2024-10-26T15:44:03Z,8006,1231,1922,7346,1572,8961
2024-10-26T15:48:52Z,4036,3846,5601,4567,6890,6154
2024-10-26T15:50:00Z,6788,7612,725,300,8970,4506
2024-10-26T15:51:32Z,5603,5490,3492,610,4701,1157
2024-10-26T15:55:45Z,6824,7498,8790,9123,8709,857
2024-10-26T15:56:16Z,7131,3710,4855,7762,2088,8573
2024-10-26T15:56:42Z,2165,1875,751,6237,5488,9429
2024-10-26T15:56:46Z,1002,4982,2298,7011,4951,2187
2024-10-26T16:01:00Z,7783,4671,7838,1720,4496,581
2024-10-26T16:01:51Z,5764,3134,970,9844,9366,7984
2024-10-26T16:02:24Z,8093,383,2161,4384,1911,5086
2024-10-26T16:02:35Z,5162,7067,3190,700,643,7266
2024-10-26T16:03:51Z,8528,6545,9871,5585,5584,2291
2024-10-26T16:04:08Z,8295,8539,8791,6194,6801,571
2024-10-26T16:05:45Z,6269,3566,5517,2650,916,6258
2024-10-26T16:09:28Z,2175,8649,7038,8004,6734,2709
2024-10-26T16:11:13Z,4999,6862,5009,7588,5206,7
2024-10-26T16:11:40Z,6623,7746,5950,6234,9826,8926
2024-10-26T16:14:53Z,4028,9083,2613,6386,777,9228
2024-10-26T16:16:55Z,4868,9224,1451,799,6594,966
2024-10-26T16:23:35Z,2016,1790,8134,9851,1944,6911
2024-10-26T16:26:32Z,2278,2559,8385,3017,2564,4852
2024-10-26T16:28:18Z,401,8420,8881,2882,6690,3650
2024-10-26T16:28:28Z,6994,4191,5011,7548,8155,7065
2024-10-26T16:31:19Z,2310,4926,9088,8332,6817,1545
2024-10-26T16:32:03Z,9826,7571,7411,972,8709,8298
2024-10-26T16:32:38Z,7024,8437,8945,595,2196,5043
2024-10-26T16:36:47Z,6531,8814,2396,9411,3869,4919
2024-10-26T16:36:57Z,2512,5759,8424,6450,2659,7977
2024-10-26T16:37:12Z,1019,9076,5519,43,8344,8180
2024-10-26T16:38:12Z,6427,4017,6715,5838,2611,2587
2024-10-26T16:41:53Z,4432,4474,5603,3678,6577,4365
2024-10-26T16:43:49Z,9628,6606,4340,8509,1154,9927
2024-10-26T16:45:18Z,2183,3353,7804,2518,2771,4936
2024-10-26T16:46:54Z,2859,3076,2833,2024,300,9048
2024-10-26T16:48:13Z,416,1137,1362,3985,9584,2479
2024-10-26T16:49:33Z,4692,9098,798,7311,3680,6651
2024-10-26T16:51:04Z,4030,6054,8211,7557,6262,7127
2024-10-26T16:51:23Z,8845,1465,6914,6980,6375,4552
2024-10-26T16:52:45Z,5487,5642,2514,1838,9476,4623
2024-10-26T16:57:16Z,6324,3096,8565,4928,4733,9565
2024-10-26T16:57:20Z,1958,6400,6118,8517,8447,5952
2024-10-26T16:58:53Z,5167,8941,8003,9070,6151,6043
2024-10-26T17:02:24Z,7340,958,1409,5304,4172,22
2024-10-26T17:02:45Z,6422,2252,2318,2363,5971,4162
2024-10-26T17:03:48Z,5997,1897,6613,9901,7901,6374
2024-10-26T17:03:52Z,2077,5121,7836,1979,9980,6362
2024-10-26T17:04:46Z,9164,2440,7547,8244,132,8382
2024-10-26T17:05:25Z,7903,9827,827,8917,6785,20
2024-10-26T17:06:16Z,4462,1866,9153,6108,5470,4488
2024-10-26T17:06:33Z,6500,7421,2324,4982,5229,2293
2024-10-26T17:09:55Z,2795,4940,1720,8176,3744,2655
2024-10-26T17:10:19Z,2613,2975,4857,6881,5011,1212
2024-10-26T17:10:26Z,7620,7069,9613,7698,7539,7903
2024-10-26T17:10:49Z,7969,4337,3913,9911,3005,7569
2024-10-26T17:11:32Z,831,6064,6244,8378,4892,7705
2024-10-26T17:11:35Z,1679,478,5573,8493,6765,8313
2024-10-26T17:12:51Z,6250,9004,9109,6125,9171,6390
2024-10-26T17:13:58Z,4275,8991,8773,5017,2320,2911
2024-10-26T17:14:44Z,2502,2016,2416,388,5383,4747
2024-10-26T17:15:27Z,6532,2170,2341,1499,3746,9141
2024-10-26T17:16:01Z,8116,756,9122,3107,873,6240
2024-10-26T17:17:15Z,2002,8230,2941,4090,8447,7821
2024-10-26T17:18:03Z,4525,6530,1547,8752,438,6076
2024-10-26T17:18:20Z,341,5424,4091,7122,9369,5549
2024-10-26T17:24:45Z,227,1851,9258,2961,2035,8049
2024-10-26T17:25:54Z,867,2811,8562,6607,406,8218
2024-10-26T17:28:03Z,167,853,9167,1423,3800,2559
2024-10-26T17:30:47Z,7353,5864,1775,7570,6690,5118
2024-10-26T17:30:50Z,1815,8775,7902,3794,8292,1254
2024-10-26T17:31:12Z,1391,6684,9119,84,7465,4582
2024-10-26T17:32:30Z,2375,9340,3396,2289,1844,8810
2024-10-26T17:37:37Z,2703,7703,8995,3611,1549,1211
2024-10-26T17:38:56Z,6371,5242,2919,7903,113,4150
2024-10-26T17:40:03Z,7131,236,4693,6843,1070,3629
2024-10-26T17:40:45Z,160,1056,7343,4947,2668,2953
2024-10-26T17:40:56Z,1848,5738,5731,6636,6846,2603
2024-10-26T17:41:45Z,9767,7417,5466,4255,7762,9086
