timeStamp,motorSPD,motorTEMP,packVOLT,packTEMP,packCURR,packCCL
2024-10-26T15:07:23.000000000Z,4154,9683,841,7266,6136,3651
2024-10-26T22:55:32.000000000Z,7855,2326,4180,7281,4081,4578
2024-10-27T08:12:38.000000000Z,2458,8455,9061,8710,458,4202
2024-10-27T04:58:57.000000000Z,1825,5715,4885,4655,1150,1541
2024-10-27T01:28:59.000000000Z,109,9320,9971,5240,6245,1726
2024-10-27T00:30:38.000000000Z,1233,9533,7942,6262,2759,5973
2024-10-26T20:14:33.000000000Z,144,7156,9045,2025,7367,6510
2024-10-27T07:45:11.000000000Z,1778,6837,4847,9301,891,1447
2024-10-26T23:44:39.000000000Z,3849,5140,1638,785,2465,8865
2024-10-27T14:03:18.000000000Z,9507,5574,7442,3966,5175,6470
2024-10-27T11:38:19.000000000Z,5905,9822,6765,6916,8393,2675
2024-10-27T06:08:52.000000000Z,7093,2181,2166,2051,9273,4547
2024-10-27T07:30:31.000000000Z,8765,5055,1611,9889,9775,6288
2024-10-27T08:32:13.000000000Z,8235,2748,2086,6633,9368,7062
2024-10-27T07:02:58.000000000Z,6261,3133,1584,339,5847,8339
2024-10-27T08:16:13.000000000Z,8846,5455,639,1039,7061,5228
2024-10-26T23:14:26.000000000Z,4520,2768,6908,462,3349,4271
2024-10-27T02:55:09.000000000Z,7678,2522,8074,3147,2887,6130
2024-10-27T02:53:23.000000000Z,8781,5624,3860,9836,6766,1334
2024-10-27T10:42:36.000000000Z,4754,8442,254,667,2845,3345
2024-10-27T14:05:44.000000000Z,2448,3088,9496,6156,26,5301
2024-10-27T08:04:03.000000000Z,6838,7753,3484,447,3354,9093
2024-10-27T08:52:30.000000000Z,5874,4092,3367,8363,919,8988
2024-10-27T03:48:08.000000000Z,2152,4265,5691,3759,150,5379
2024-10-26T23:58:58.000000000Z,6862,6180,8275,5047,2914,3149
2024-10-26T20:18:02.000000000Z,5422,3484,5539,8035,9762,2675
2024-10-26T23:51:56.000000000Z,699,2904,109,5227,1737,1066
2024-10-27T10:52:43.000000000Z,8568,1378,9837,2434,5558,3907
2024-10-26T16:14:53.000000000Z,4028,9083,9228,777,6386,2613
